,states,x_cor,y_cor
0,andhra pradesh,-86.0,-162.0
1,arunachal pradesh,256.0,175.0
2,assam,230.0,124.0
3,bihar,68.0,97.0
4,chhattisgarh,-13.0,2.0
5,goa,-193.0,-155.0
6,gujarat,-250.0,32.0
7,haryana,-139.0,186.0
8,himachal pradesh,-110.0,245.0
9,jammu and kashmir,-165.0,292.0
10,jharkhand,57.0,45.0
11,karnataka,-159.0,-174.0
12,kerala,-142.0,-272.0
13,madhya pradesh,-91.0,38.0
14,maharashtra,-165.0,-56.0
15,manipur,252.0,86.0
16,meghalaya,189.0,102.0
17,mizoram,231.0,53.0
18,nagaland,263.0,118.0
19,odisha,45.0,-27.0
20,punjab,-160.0,214.0
21,rajasthan,-204.0,129.0
22,sikkim,129.0,147.0
23,tamil nadu,-89.0,-257.0
24,telangana,-83.0,-102.0
25,tripura,205.0,58.0
26,uttar pradesh,-46.0,125.0
27,uttarakhand,-74.0,207.0
28,west bengal,119.0,32.0
29,andaman and nicobar,244.0,-234.0
30,chandigarh,-131.0,225.0
31,dadra and nagar haveli,-266.0,-18.0
32,daman and diu,-217.0,-29.0
33,lakshadweep,-232.0,-250.0
34,delhi,-119.0,170.0
35,puducherry,-59.0,-239.0
36,ladakh,-110.0,310.0
